Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Paraguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Philippines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Poland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puerto Rico;;;;;;;;;;;;;;;;
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Republic of Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Romania;10.51;10.11;10.07;8.9;9.82;9.35;8.98;12.5;17.28;20.35;19.17;18.95;19.51;19.85;17.91;
Russia;14.91;15.4;15.93;16.44;15.56;15.71;15.74;15.79;15.7;16.52;16.45;16.42;16.6;16.31;17.02;
Rwanda;;;;;;;;;;;;;;;;
Saint Kitts;;;;;;;;;;;;;;;;
Saint Lucia;;;;;;;;;;;;;;;;
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;;;;;;;;;;;;;;;;
Samoa;;;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;;;;;;;;;;;;;;;;
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Serbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Seychelles;;;;;;;;;;;;;;;;
Sierra Leone;;;;;;;;;;;;;;;;
Singapore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Slovakia;53.56;53.69;55.73;57.65;55.9;56.54;57.64;54.98;58.08;54.33;53.07;54.48;54.7;55.13;57.09;56.87
Slovenia;34.95;36.34;37.87;37.68;35.75;38.92;36.71;37.86;38.25;34.99;34.8;39.05;35.55;33.53;37.11;38.12
Solomon Islands;;;;;;;;;;;;;;;;
Somalia;;;;;;;;;;;;;;;;
South Africa;6.26;5.15;5.49;5.48;5.55;4.67;4;4.34;5.09;5.19;4.71;5.2;4.69;5.57;5.53;
South Korea;37.77;36.27;36.11;37.78;35.65;37.84;36.98;33.56;34;32.72;29.92;29.75;28.31;25.8;28.65;30
South Sudan;;;;;;;;;;;;;0;0;0;
Spain;28.16;27.33;26.27;24.05;22.99;19.88;20.34;18.26;18.96;18.08;20.78;19.8;20.91;20.16;20.84;20.62
Sri Lanka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Swaziland;;;;;;;;;;;;;;;;
Sweden;39.47;44.62;46.43;49.8;51.09;45.7;46.74;45;42.62;38.19;38.95;40.25;38.48;43.43;42.25;34.74
Switzerland;39.99;37.73;41.6;42.03;42.21;40.39;44.77;42.03;41.32;41.53;39.88;42.47;37.34;37.82;39.31;34.93
Syria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tajikistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tanzania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Thailand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Timor-Leste;;;;;;;;;;;;;;;;
Togo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tonga;;;;;;;;;;;;;;;;
Trinidad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tunisia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Turkey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turkmenistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Turks and Caicos Islands;;;;;;;;;;;;;;;;
Uganda;;;;;;;;;;;;;;;;
UK;22.72;23.56;22.84;22.43;20.45;20.64;19.18;16.04;13.64;18.52;16.42;18.96;19.56;19.86;19.01;20.91
Ukraine;45.16;44.08;44.93;45.17;47.81;47.74;46.69;47.15;46.65;47.76;47.21;46.29;45.44;42.96;48.57;
United Arab Emirates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Uruguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
USA;19.81;20.65;19.98;19.43;19.61;18.99;19.09;19.35;19.29;19.93;19.27;18.98;18.76;19.17;19.23;19.32
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vanuatu;;;;;;;;;;;;;;;;
Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vietnam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Virgin Islands, US;;;;;;;;;;;;;;;;
Yemen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Zambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Zimbabwe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
